EdgeId,Start,End,Type(0:un_1:direct)
1,1,2,0
2,2,3,0
3,3,4,0
4,5,6,0
5,7,8,0
6,9,10,0
7,3,11,0
8,12,13,0
9,14,15,0
10,16,17,0
11,18,19,0
12,20,21,0
13,22,23,0
14,24,25,0
15,26,27,0
16,28,29,0
17,30,31,0
18,32,33,0
19,34,35,0
20,36,37,0
21,38,39,0
22,40,41,0
23,42,43,0
24,44,45,0
25,46,47,0
26,48,49,0
27,50,51,0
28,52,53,0
29,54,55,0
30,56,57,0
31,58,59,0
32,60,61,0
33,62,63,0
34,64,65,0
35,66,67,0
36,68,69,0
37,70,71,0
38,72,73,0
39,74,75,0
40,76,77,0
41,78,79,0
42,80,81,0
43,82,83,0
44,84,85,0
45,86,87,0
46,88,89,0
47,90,91,0
48,92,93,0
49,94,95,0
50,96,97,0
51,98,99,0
52,100,101,0
53,102,103,0
54,104,105,0
55,106,107,0
56,108,109,0
57,110,111,0
58,112,113,0
59,114,115,0
60,116,117,0
61,118,119,0
62,120,121,0
63,122,123,0
64,124,125,0
65,126,127,0
66,128,129,0
67,130,131,0
68,132,133,0
69,134,135,0
70,136,137,0
71,138,139,0
72,140,141,0
73,142,143,0
74,144,145,0
75,146,143,0
76,147,148,0
77,149,150,0
78,151,152,0
79,153,154,0
80,155,156,0
81,157,158,0
82,159,160,0
83,161,162,0
84,163,164,0
85,165,166,0
86,167,168,0
87,169,170,0
88,171,172,0
89,173,174,0
90,175,176,0
91,177,178,0
92,179,180,0
93,181,182,0
94,183,184,0
95,185,186,0
96,187,188,0
97,189,190,0
98,191,192,0
99,193,194,0
100,195,196,0
101,197,198,0
102,199,200,0
103,201,202,0
104,203,204,0
105,205,206,0
106,207,208,0
107,209,210,0
108,211,212,0
109,213,214,0
110,215,216,0
111,217,218,0
112,219,220,0
113,221,222,0
114,223,224,0
115,225,226,0
116,227,228,0
117,229,230,0
118,231,232,0
119,233,234,0
120,235,236,0
121,237,238,0
122,239,240,0
123,241,242,0
124,243,244,0
125,245,246,0
126,247,248,0
127,249,250,0
128,251,252,0
129,253,254,0
130,255,256,0
131,257,258,0
132,259,260,0
133,261,262,0
134,263,264,0
135,265,266,0
136,267,268,0
137,269,270,0
138,271,272,0
139,273,274,0
140,275,276,0
141,277,278,0
142,279,280,0
143,281,282,0
144,283,284,0
145,285,286,0
146,287,288,0
147,289,290,0
148,291,292,0
149,293,294,0
150,295,296,0
151,297,298,0
152,299,300,0
153,301,302,0
154,303,304,0
155,305,306,0
156,307,308,0
157,309,310,0
158,311,312,0
159,313,314,0
160,315,316,0
161,317,318,0
162,319,320,0
163,321,322,0
164,323,324,0
165,325,326,0
166,327,328,0
167,329,330,0
168,331,332,0
169,333,334,0
170,335,336,0
171,337,338,0
172,339,340,0
173,341,342,0
174,343,344,0
175,345,346,0
176,347,348,0
177,349,350,0
178,351,352,0
179,353,354,0
180,355,356,0
181,357,358,0
182,359,360,0
183,361,362,0
184,363,364,0
185,365,366,0
186,367,368,0
187,369,370,0
188,371,372,0
189,373,374,0
190,375,376,0
191,377,378,0
192,379,380,0
193,381,382,0
194,383,384,0
195,385,386,0
196,387,388,0
197,389,390,0
198,391,392,0
199,393,394,0
200,395,396,0
201,397,398,0
202,399,400,0
203,401,402,0
204,403,404,0
205,405,406,0
206,407,408,0
207,409,410,0
208,411,412,0
209,413,414,0
210,415,416,0
211,417,418,0
212,419,420,0
213,421,422,0
214,423,424,0
215,425,426,0
216,427,428,0
217,429,430,0
218,431,432,0
219,433,434,0
220,435,436,0
221,437,438,0
222,439,440,0
223,441,442,0
224,443,444,0
225,445,446,0
226,447,448,0
227,449,450,0
228,451,452,0
229,453,454,0
230,455,456,0
231,457,458,0
232,459,460,0
233,461,462,0
234,463,464,0
235,465,466,0
236,467,468,0
237,469,470,0
238,471,472,0
239,473,474,0
240,475,476,0
241,477,478,0
242,479,480,0
243,481,482,0
244,483,484,0
245,485,486,0
246,487,488,0
247,489,490,0
248,491,492,0
249,493,494,0
250,495,496,0
251,497,498,0
252,499,500,0
253,501,406,0
254,502,503,0
255,504,505,0
256,506,507,0
257,508,509,0
258,510,511,0
259,512,513,0
260,514,515,0
261,516,517,0
262,518,519,0
263,520,521,0
264,522,523,0
265,524,525,0
266,526,527,0
267,528,529,0
268,530,531,0
269,532,533,0
270,534,535,0
271,536,537,0
272,538,539,0
273,540,541,0
274,542,543,0
275,544,545,0
276,546,547,0
277,548,549,0
278,550,551,0
279,552,553,0
280,554,555,0
281,556,557,0
282,558,559,0
283,560,561,0
284,562,563,0
285,564,565,0
286,566,567,0
287,568,569,0
288,570,571,0
289,572,573,0
290,574,575,0
291,576,577,0
292,578,579,0
293,580,581,0
294,582,583,0
295,584,585,0
296,586,587,0
297,588,589,0
298,590,591,0
299,592,593,0
300,594,595,0
301,596,597,0
302,598,599,0
303,600,601,0
304,602,603,0
305,604,605,0
306,606,607,0
307,608,609,0
308,610,611,0
309,611,612,0
310,613,614,0
311,615,616,0
312,617,618,0
313,619,620,0
314,621,622,0
315,623,624,0
316,625,626,0
317,627,628,0
318,629,630,0
319,631,632,0
320,633,634,0
321,635,636,0
322,637,638,0
323,639,640,0
324,641,642,0
325,643,644,0
326,645,646,0
327,647,648,0
328,649,650,0
329,651,652,0
330,653,654,0
331,655,656,0
332,657,658,0
333,659,660,0
334,661,662,0
335,663,664,0
336,665,666,0
337,667,668,0
338,669,670,0
339,671,672,0
340,673,674,0
341,675,676,0
342,677,678,0
343,679,680,0
344,681,682,0
345,683,684,0
346,685,686,0
347,687,688,0
348,689,690,0
349,691,692,0
350,693,694,0
351,695,694,0
352,696,697,0
353,698,699,0
354,700,701,0
355,702,703,0
356,704,705,0
357,706,707,0
358,708,709,0
359,710,711,0
360,712,713,0
361,714,715,0
362,716,717,0
363,718,719,0
364,720,721,0
365,722,723,0
366,724,725,0
367,726,727,0
368,728,729,0
369,730,731,0
370,732,733,0
371,734,735,0
372,736,737,0
373,738,739,0
374,740,741,0
375,742,743,0
376,744,745,0
377,746,747,0
378,748,749,0
379,750,67,0
380,751,752,0
381,753,754,0
382,755,756,0
383,757,758,0
384,759,760,0
385,761,762,0
386,763,764,0
387,765,766,0
388,767,768,0
389,769,770,0
390,771,772,0
391,773,774,0
392,775,776,0
393,777,778,0
394,779,780,0
395,781,782,0
396,783,784,0
397,785,786,0
398,787,788,0
399,789,790,0
400,791,792,0
401,793,794,0
402,795,796,0
403,797,798,0
404,799,800,0
405,801,802,0
406,803,804,0
407,805,806,0
408,807,808,0
409,809,810,0
410,811,812,0
411,813,814,0
412,815,816,0
413,817,818,0
414,819,682,0
415,820,821,0
416,822,823,0
417,824,825,0
418,826,827,0
419,828,829,0
420,830,831,0
421,832,833,0
422,834,835,0
423,836,837,0
424,838,839,0
425,840,841,0
426,842,843,0
427,844,845,0
428,846,847,0
429,848,849,0
430,850,851,0
431,852,853,0
432,854,855,0
433,856,857,0
434,858,859,0
435,860,861,0
436,862,863,0
437,864,865,0
438,866,867,0
439,868,869,0
440,870,871,0
441,872,873,0
442,874,875,0
443,876,877,0
444,878,879,0
445,880,881,0
446,882,883,0
447,884,885,0
448,886,887,0
449,888,889,0
450,890,891,0
451,892,893,0
452,894,895,0
453,896,897,0
454,898,899,0
455,900,901,0
456,902,903,0
457,904,905,0
458,906,907,0
459,908,909,0
460,910,911,0
461,912,913,0
462,914,915,0
463,916,917,0
464,918,919,0
465,920,921,0
466,922,923,0
467,924,925,0
468,926,927,0
469,928,929,0
470,930,931,0
471,932,933,0
472,934,935,0
473,936,937,0
474,938,939,0
475,940,941,0
476,942,943,0
477,944,945,0
478,946,947,0
479,948,949,0
480,950,951,0
481,952,953,0
482,954,955,0
483,956,957,0
484,958,959,0
485,960,961,0
486,962,963,0
487,964,965,0
488,966,967,0
489,968,969,0
490,970,971,0
491,972,973,0
492,974,975,0
493,976,977,0
494,978,979,0
495,980,981,0
496,982,983,0
497,984,985,0
498,986,987,0
499,988,989,0
500,990,991,0
501,992,993,0
502,994,995,0
503,996,997,0
504,998,999,0
505,1000,1001,0
506,1002,1003,0
507,1004,1005,0
508,1006,1007,0
509,1008,1009,0
510,1010,1011,0
511,1012,1013,0
512,1014,1015,0
513,1016,1017,0
514,1018,1019,0
515,1020,1021,0
516,1022,1023,0
517,1024,1025,0
518,1026,1027,0
519,1028,1029,0
520,1030,1031,0
521,1032,1033,0
522,1034,1035,0
523,1036,1037,0
524,1038,1039,0
525,1040,1041,0
526,1042,1043,0
527,1044,1045,0
528,1046,1047,0
529,1048,1049,0
530,1050,1051,0
531,1052,1053,0
532,1054,1055,0
533,1056,1057,0
534,1058,1059,0
535,1060,1061,0
536,1062,1063,0
537,1064,1065,0
538,1066,1067,0
539,1068,1069,0
540,1070,1071,0
541,1072,1073,0
542,1074,1075,0
543,1076,1077,0
544,1078,1079,0
545,1080,1081,0
546,1082,1083,0
547,1084,1085,0
548,1086,1087,0
549,1088,1089,0
550,1090,1091,0
551,1092,1093,0
552,1094,1095,0
553,1096,1097,0
554,1098,1099,0
555,1100,648,0
556,1101,1102,0
557,1103,1104,0
558,1105,1106,0
559,1107,1108,0
560,1109,1110,0
561,1111,1112,0
562,1113,1114,0
563,1115,1116,0
564,1117,1118,0
565,1119,1120,0
566,1121,1122,0
567,1123,1124,0
568,1125,1126,0
569,1127,1128,0
570,1129,1130,0
571,1131,1132,0
572,1133,1134,0
573,1135,1136,0
574,1137,1138,0
575,1139,1140,0
576,1141,1142,0
577,1143,1144,0
578,1145,1146,0
579,1147,1148,0
580,1149,1150,0
581,1151,1152,0
582,1153,1154,0
583,1155,1156,0
584,1157,1158,0
585,1159,1160,0
586,1161,1162,0
587,1163,1164,0
588,1165,1166,0
589,1167,1168,0
590,1169,1170,0
591,1171,1172,0
592,1173,1174,0
593,1175,1174,0
594,1176,1177,0
595,1178,1179,0
596,1180,1181,0
597,1182,1183,0
598,1184,1185,0
599,1186,1187,0
600,1188,1189,0
601,1190,1191,0
602,1192,1193,0
603,1194,1195,0
604,1196,1197,0
605,1198,1199,0
606,1200,1201,0
607,1202,1203,0
608,1204,1205,0
609,1206,1205,0
610,1207,1208,0
611,1209,1210,0
612,1211,1212,0
613,1213,1214,0
614,1215,1216,0
615,1217,1218,0
616,1219,1220,0
617,1221,1222,0
618,1223,1224,0
619,1225,1226,0
620,1227,1228,0
621,1229,1228,0
622,1230,1231,0
623,1232,1233,0
624,1234,1235,0
625,1236,1237,0
626,1238,1237,0
627,1239,1240,0
628,1241,1242,0
629,1243,1244,0
630,1245,1246,0
631,1247,1248,0
632,1249,1250,0
633,1251,1252,0
634,1253,1254,0
635,1255,1256,0
636,1257,1258,0
637,1259,1260,0
638,1261,1262,0
639,1263,1264,0
640,1265,1266,0
641,1267,1268,0
642,1269,1270,0
643,1271,1272,0
644,1273,1274,0
645,1275,1276,0
646,1277,1278,0
647,1279,1280,0
648,1281,127,0
649,1282,1283,0
650,1284,1285,0
651,1286,1287,0
652,1288,1289,0
653,1290,1291,0
654,1292,1293,0
655,1294,1295,0
656,1296,1297,0
657,1298,1299,0
658,1300,1301,0
659,1302,1303,0
660,1304,1305,0
661,1306,1307,0
662,1308,1309,0
663,1310,1311,0
664,1312,1313,0
665,1314,1315,0
666,1316,1317,0
667,1318,1319,0
668,1320,1321,0
669,1322,1323,0
670,1324,1325,0
671,1326,1327,0
672,1328,1329,0
673,1330,1331,0
674,1332,1333,0
675,1334,1335,0
676,1336,1337,0
677,1338,1339,0
678,1340,1341,0
679,1342,1343,0
680,1344,1345,0
681,1346,1347,0
682,1348,1349,0
683,1350,1351,0
684,1352,1311,0
685,1353,1354,0
686,1355,1356,0
687,1357,1358,0
688,1359,1360,0
689,1361,1362,0
690,1363,1364,0
691,1365,1366,0
692,1367,1368,0
693,1369,1370,0
694,1371,1372,0
695,1373,1374,0
696,1375,1376,0
697,1377,1378,0
698,1379,1380,0
699,1381,1382,0
700,1383,1384,0
701,1385,1386,0
702,1387,1388,0
703,1389,1390,0
704,1391,1392,0
705,1393,1394,0
706,1395,1396,0
707,1397,1398,0
708,1399,1400,0
709,1401,1402,0
710,1403,1402,0
711,1404,1405,0
712,1406,1407,0
713,1408,1409,0
714,1410,1411,0
715,1412,1413,0
716,1414,1415,0
717,1416,1417,0
718,1418,1419,0
719,1420,1421,0
720,1422,1423,0
721,1424,1425,0
722,1426,1427,0
723,1428,1429,0
724,1430,1431,0
725,1432,1433,0
726,1434,1435,0
727,1436,1437,0
728,1438,1439,0
729,1440,1441,0
730,1442,1443,0
731,1444,1445,0
732,1446,1447,0
733,1448,1449,0
734,1450,1449,0
735,1451,1452,0
736,1453,1454,0
737,1455,1456,0
738,1457,1458,0
739,1459,1460,0
740,1461,1462,0
741,1463,1464,0
742,1465,1466,0
743,1467,1468,0
744,1469,1470,0
745,1471,1472,0
746,1473,1474,0
747,1475,1476,0
748,1477,1478,0
749,1479,1480,0
750,1481,1482,0
751,1483,1484,0
752,1485,1486,0
753,1487,1488,0
754,1489,1490,0
755,1491,1492,0
756,1493,1494,0
757,1495,1496,0
758,1497,1498,0
759,1499,1500,0
760,1501,1502,0
761,1503,1504,0
762,1505,1506,0
763,1507,1508,0
764,1509,1510,0
765,1511,1512,0
766,1513,1514,0
767,1515,1516,0
768,1517,1518,0
769,1519,1520,0
770,1521,1522,0
771,1523,1524,0
772,1525,1526,0
773,1527,1528,0
774,1529,1530,0
775,1531,1532,0
776,1533,1534,0
777,1535,1536,0
778,1537,1538,0
779,1539,1540,0
780,1541,1542,0
781,1543,1544,0
782,1545,1546,0
783,1547,1548,0
784,1549,1550,0
785,1551,1552,0
786,1553,1554,0
787,1555,1556,0
788,1557,1558,0
789,1559,1560,0
790,1561,1562,0
791,1563,1564,0
792,1565,1566,0
793,1567,1568,0
794,1569,1570,0
795,1571,1572,0
796,1573,1574,0
797,1575,1576,0
